Date,Price,Open,High,Low,Vol.,Change %,,Rolling Change
17-08-2023,"31,060.20","31,205.30","31,238.25","30,885.40",17.30M,-0.49%,,0.13%
18-08-2023,"30,604.05","30,907.45","30,934.10","30,515.00",19.95M,-1.47%,,-0.10%
21-08-2023,"30,937.60","30,626.25","30,987.65","30,597.05",12.87M,1.09%,,0.00%
22-08-2023,"30,902.40","30,973.90","31,024.60","30,785.70",11.44M,-0.11%,,0.02%
23-08-2023,"30,924.10","31,036.95","31,084.65","30,887.45",12.22M,0.07%,,0.05%
24-08-2023,"31,112.15","31,084.55","31,212.45","31,004.75",37.47M,0.61%,,0.04%
25-08-2023,"30,914.55","30,907.85","30,998.95","30,803.00",15.20M,-0.64%,,-0.13%
28-08-2023,"30,773.60","30,975.35","31,025.75","30,745.00",11.14M,-0.46%,,-0.13%
29-08-2023,"30,866.05","30,899.95","30,978.25","30,784.85",11.38M,0.30%,,0.12%
30-08-2023,"31,103.90","31,069.85","31,197.75","31,023.75",11.78M,0.77%,,0.08%
31-08-2023,"31,164.90","31,175.10","31,428.00","31,067.70",35.35M,0.20%,,0.12%
01-09-2023,"31,514.35","31,166.60","31,550.95","31,149.25",14.32M,1.12%,,0.27%
04-09-2023,"32,163.95","31,552.50","32,197.85","31,454.50",30.83M,2.06%,,0.48%
05-09-2023,"32,365.30","32,207.40","32,482.65","32,014.95",23.99M,0.63%,,0.66%
06-09-2023,"32,312.30","32,437.85","32,515.05","32,038.55",19.39M,-0.16%,,0.70%
07-09-2023,"32,448.35","32,264.50","32,497.65","32,153.40",17.74M,0.42%,,0.72%
08-09-2023,"32,415.65","32,450.75","32,561.25","32,353.40",12.73M,-0.10%,,0.60%
11-09-2023,"32,642.80","32,531.00","32,674.45","32,458.05",15.30M,0.70%,,0.67%
12-09-2023,"32,977.90","32,758.55","33,114.15","32,429.50",24.40M,1.03%,,0.65%
13-09-2023,"32,886.70","32,943.15","32,982.35","32,713.10",14.94M,-0.28%,,0.32%
14-09-2023,"33,045.40","32,991.45","33,240.20","32,949.55",23.99M,0.48%,,0.30%
15-09-2023,"33,355.05","33,216.90","33,402.75","33,156.20",31.94M,0.94%,,0.46%
18-09-2023,"33,129.50","33,255.10","33,266.90","33,030.35",14.21M,-0.68%,,0.30%
20-09-2023,"32,949.20","32,860.90","33,167.30","32,851.75",16.60M,-0.54%,,0.24%
21-09-2023,"32,919.95","32,849.90","32,976.85","32,504.75",20.69M,-0.09%,,0.12%
22-09-2023,"32,906.30","32,799.05","33,109.65","32,664.40",22.95M,-0.04%,,-0.03%
25-09-2023,"32,648.60","32,881.35","32,960.95","32,581.15",15.20M,-0.78%,,-0.10%
26-09-2023,"32,471.00","32,675.10","32,693.25","32,391.45",12.20M,-0.54%,,-0.25%
27-09-2023,"32,594.65","32,439.05","32,651.00","32,339.95",13.79M,0.38%,,-0.33%
28-09-2023,"31,879.60","32,616.05","32,623.35","31,808.75",26.08M,-2.19%,,-0.54%
29-09-2023,"31,784.40","31,814.65","32,020.35","31,514.90",21.96M,-0.30%,,-0.51%
03-10-2023,"31,717.25","31,772.75","31,852.65","31,499.35",14.26M,-0.21%,,-0.53%
04-10-2023,"31,811.50","31,531.35","31,874.70","31,412.50",16.01M,0.30%,,-0.48%
05-10-2023,"32,125.40","31,995.00","32,368.45","31,956.90",21.37M,0.99%,,-0.22%
06-10-2023,"32,341.70","32,251.45","32,438.40","32,098.80",13.96M,0.67%,,-0.05%
09-10-2023,"32,308.55","32,216.15","32,638.25","32,203.55",17.41M,-0.10%,,-0.12%
10-10-2023,"32,569.45","32,423.95","32,616.35","32,200.25",14.48M,0.81%,,0.31%
11-10-2023,"32,548.05","32,688.70","32,981.90","32,489.60",24.93M,-0.07%,,0.34%
12-10-2023,"32,003.65","32,474.15","32,556.50","31,907.00",28.51M,-1.67%,,0.13%
13-10-2023,"31,807.95","31,457.50","32,024.35","31,434.10",37.32M,-0.61%,,0.00%
16-10-2023,"31,750.40","31,831.05","31,949.75","31,710.65",15.81M,-0.18%,,-0.16%
17-10-2023,"31,794.90","31,884.25","31,938.20","31,770.75",13.24M,0.14%,,-0.24%
18-10-2023,"31,606.65","31,778.55","31,882.45","31,568.20",14.90M,-0.59%,,-0.31%
19-10-2023,"31,540.05","31,345.55","31,667.00","31,345.55",31.16M,-0.21%,,-0.46%
20-10-2023,"31,469.35","31,445.45","31,605.75","31,360.50",17.27M,-0.22%,,-0.48%
23-10-2023,"30,848.40","31,358.45","31,456.10","30,802.05",13.45M,-1.97%,,-0.52%
25-10-2023,"30,530.50","30,790.35","31,004.20","30,469.00",16.57M,-1.03%,,-0.58%
26-10-2023,"30,225.65","30,184.00","30,312.45","30,054.20",28.23M,-1.00%,,-0.70%
27-10-2023,"30,599.70","30,328.25","30,676.95","30,313.95",15.08M,1.24%,,-0.54%
30-10-2023,"30,641.00","30,627.90","30,698.40","30,433.65",10.95M,0.13%,,-0.44%
31-10-2023,"30,582.25","30,765.25","30,769.20","30,396.05",12.36M,-0.19%,,-0.43%
01-11-2023,"30,344.85","30,609.45","30,694.45","30,283.15",10.91M,-0.78%,,-0.51%
02-11-2023,"30,582.75","30,575.80","30,731.55","30,495.30",12.36M,0.78%,,-0.12%
03-11-2023,"30,779.95","30,797.25","30,924.85","30,739.35",11.78M,0.64%,,0.12%
06-11-2023,"30,972.95","30,955.35","31,034.15","30,863.65",9.49M,0.63%,,0.35%
07-11-2023,"30,981.60","30,949.95","31,052.50","30,860.65",9.35M,0.03%,,0.18%
08-11-2023,"30,917.20","31,049.75","31,128.90","30,865.25",11.06M,-0.21%,,0.13%
09-11-2023,"30,717.70","30,982.65","30,993.05","30,655.55",20.47M,-0.65%,,0.06%
10-11-2023,"30,639.05","30,623.70","30,680.85","30,504.10",12.70M,-0.26%,,0.14%
13-11-2023,"30,635.85","30,793.65","30,810.35","30,572.95",8.91M,-0.01%,,0.02%
15-11-2023,"31,429.35","31,095.80","31,472.50","30,987.75",24.33M,2.59%,,0.30%
16-11-2023,"32,273.35","31,555.10","32,453.65","31,431.50",26.94M,2.69%,,0.60%
17-11-2023,"32,191.35","32,288.90","32,405.85","32,134.65",16.42M,-0.25%,,0.56%
20-11-2023,"32,383.20","32,202.30","32,600.35","32,198.10",15.29M,0.60%,,0.67%
21-11-2023,"32,325.70","32,507.75","32,587.15","32,300.05",12.38M,-0.18%,,0.74%
22-11-2023,"32,564.40","32,298.00","32,583.45","32,262.15",11.08M,0.74%,,0.88%
23-11-2023,"32,370.65","32,657.15","32,688.00","32,334.50",14.22M,-0.59%,,0.80%
24-11-2023,"32,055.15","32,341.00","32,420.45","32,010.00",11.83M,-0.97%,,0.29%
28-11-2023,"32,118.50","32,115.85","32,187.95","31,807.85",14.29M,0.20%,,-0.06%
29-11-2023,"32,608.40","32,258.50","32,633.00","32,248.35",18.81M,1.53%,,0.19%
30-11-2023,"32,582.20","32,569.80","32,701.65","32,455.30",39.49M,-0.08%,,0.09%
01-12-2023,"32,598.70","32,729.80","32,729.80","32,478.75",13.43M,0.05%,,0.13%
04-12-2023,"32,665.55","32,888.20","32,888.20","32,522.45",16.85M,0.21%,,0.05%
05-12-2023,"32,479.15","32,754.00","32,755.20","32,252.45",19.00M,-0.57%,,0.05%
06-12-2023,"33,022.60","32,560.15","33,073.05","32,529.30",25.30M,1.67%,,0.43%
07-12-2023,"32,961.60","33,053.65","33,111.65","32,891.75",16.76M,-0.18%,,0.38%
08-12-2023,"33,392.90","33,098.65","33,452.40","33,012.70",25.72M,1.31%,,0.34%
11-12-2023,"33,514.25","33,424.00","33,615.70","33,332.50",16.30M,0.36%,,0.41%
12-12-2023,"33,493.90","33,484.80","33,799.80","33,358.00",19.74M,-0.06%,,0.39%
13-12-2023,"33,066.65","33,466.30","33,497.45","32,715.65",23.53M,-1.28%,,0.18%
14-12-2023,"34,223.35","33,451.95","34,308.55","33,419.10",43.97M,3.50%,,0.76%
15-12-2023,"35,782.45","34,427.55","35,947.60","34,427.55",67.55M,4.56%,,1.17%
18-12-2023,"35,685.55","35,707.30","36,132.00","35,487.95",27.59M,-0.27%,,1.16%
19-12-2023,"35,345.00","35,728.40","35,762.10","35,091.95",20.56M,-0.95%,,0.84%
20-12-2023,"34,741.05","35,492.80","35,928.50","34,621.00",32.45M,-1.71%,,0.54%
21-12-2023,"34,846.05","34,406.80","35,020.00","34,394.55",19.95M,0.30%,,0.59%
22-12-2023,"35,637.80","34,974.65","35,770.45","34,740.15",39.17M,2.27%,,1.10%
26-12-2023,"35,493.45","35,421.15","35,682.65","35,185.45",40.07M,-0.41%,,0.54%
27-12-2023,"35,741.00","35,557.30","35,814.70","35,447.10",22.86M,0.70%,,-0.01%
28-12-2023,"35,691.65","35,812.00","35,850.40","35,614.80",21.68M,-0.14%,,0.01%
29-12-2023,"35,515.00","35,559.40","35,781.10","35,395.05",18.04M,-0.49%,,0.07%
01-01-2024,"35,695.90","35,496.40","35,890.75","35,353.85",17.62M,0.51%,,0.39%
02-01-2024,"35,283.10","35,668.05","35,701.80","35,106.15",18.44M,-1.16%,,0.18%
03-01-2024,"34,395.45","35,039.05","35,076.95","34,367.75",24.86M,-2.52%,,-0.50%
04-01-2024,"34,409.40","34,552.95","34,800.35","34,236.60",26.95M,0.04%,,-0.44%
05-01-2024,"34,851.75","34,469.70","34,991.55","34,459.45",24.56M,1.29%,,-0.35%
08-01-2024,"34,514.65","34,876.65","34,881.80","34,419.75",15.05M,-0.97%,,-0.47%
09-01-2024,"34,662.45","34,926.65","35,139.35","34,608.45",18.70M,0.43%,,-0.34%
10-01-2024,"34,834.35","34,693.00","34,941.00","34,546.95",16.29M,0.50%,,-0.34%
11-01-2024,"34,735.25","34,978.30","35,104.95","34,665.10",21.93M,-0.28%,,-0.22%
12-01-2024,"36,521.70","35,673.00","36,581.10","35,659.55",67.15M,5.14%,,0.88%
15-01-2024,"37,201.95","37,538.45","37,929.30","37,109.35",99.25M,1.86%,,1.14%
16-01-2024,"36,727.10","37,132.40","37,132.40","36,600.45",28.84M,-1.28%,,0.77%
17-01-2024,"36,960.40","36,299.60","37,107.20","36,289.30",35.58M,0.64%,,1.00%
18-01-2024,"36,730.50","36,784.35","36,826.45","36,136.40",34.24M,-0.62%,,0.85%
19-01-2024,"37,069.25","37,065.00","37,263.95","36,831.35",24.37M,0.92%,,0.91%
20-01-2024,"36,706.70","37,251.80","37,305.65","36,646.50",,-0.98%,,0.81%
23-01-2024,"36,521.35","36,958.30","37,383.45","36,424.90",31.15M,-0.50%,,0.01%
24-01-2024,"37,090.15","36,761.60","37,174.20","36,435.30",23.57M,1.56%,,-0.04%
25-01-2024,"36,496.20","36,938.60","36,938.60","36,354.10",30.83M,-1.60%,,-0.08%
29-01-2024,"36,531.90","36,553.80","36,653.25","36,351.50",18.31M,0.10%,,-0.16%
30-01-2024,"36,381.95","36,682.10","37,022.90","36,321.10",19.52M,-0.41%,,-0.13%
31-01-2024,"36,638.40","36,373.95","36,704.50","36,228.85",25.12M,0.70%,,-0.16%
01-02-2024,"36,534.55","36,632.50","36,951.40","36,451.15",18.72M,-0.28%,,-0.06%
02-02-2024,"37,323.25","36,730.15","37,663.95","36,729.95",26.86M,2.16%,,0.32%
05-02-2024,"37,162.15","37,441.00","37,574.45","37,097.95",15.43M,-0.43%,,0.03%
06-02-2024,"38,246.30","37,267.15","38,286.00","37,161.60",36.88M,2.92%,,0.68%
07-02-2024,"37,767.75","38,345.40","38,373.45","37,734.55",17.75M,-1.25%,,0.49%
08-02-2024,"37,851.60","37,893.45","38,101.50","37,625.75",20.87M,0.22%,,0.58%
09-02-2024,"37,699.25","37,891.50","38,082.05","37,443.75",16.09M,-0.40%,,0.42%
12-02-2024,"37,998.00","37,770.00","38,285.35","37,770.00",38.32M,0.79%,,0.57%
13-02-2024,"38,204.00","38,070.40","38,258.50","37,605.30",20.46M,0.54%,,0.34%
14-02-2024,"37,775.40","37,724.75","37,844.70","37,200.05",22.95M,-1.12%,,0.24%
15-02-2024,"37,999.55","38,053.30","38,270.45","37,735.60",19.19M,0.59%,,-0.09%
16-02-2024,"38,477.05","38,211.55","38,516.55","38,131.85",29.46M,1.26%,,0.27%
19-02-2024,"38,363.20","38,526.95","38,559.85","38,042.65",17.69M,-0.30%,,0.19%
20-02-2024,"38,029.70","38,190.75","38,347.90","37,780.20",15.68M,-0.87%,,0.13%
21-02-2024,"37,405.90","37,938.85","38,001.45","37,302.60",18.94M,-1.64%,,-0.22%
22-02-2024,"38,130.15","37,535.75","38,192.10","37,395.35",23.92M,1.94%,,-0.02%
23-02-2024,"38,045.65","38,487.50","38,490.45","37,980.10",22.93M,-0.22%,,0.11%
26-02-2024,"37,598.65","37,991.90","38,005.85","37,384.90",14.51M,-1.17%,,-0.14%
27-02-2024,"37,870.25","37,606.70","37,929.30","37,606.70",17.92M,0.72%,,-0.22%
28-02-2024,"37,741.75","37,926.65","38,138.35","37,594.50",14.80M,-0.34%,,-0.23%
29-02-2024,"37,720.40","37,616.20","37,896.05","37,414.95",26.38M,-0.06%,,-0.11%
01-03-2024,"37,516.05","37,823.70","37,888.85","37,462.85",18.80M,-0.54%,,0.05%
02-03-2024,"37,605.80","37,719.35","37,740.25","37,579.50",1.12K,0.24%,,-0.20%
04-03-2024,"37,314.80","37,634.25","37,733.25","37,279.45",14.49M,-0.77%,,-0.27%
